"geo_position","geo_sample_id","curated_sample","curated_total","in_curated_analysis","treatment_group"
1,"1","sample_1",2402606,TRUE,"CF_Asp_Neg"
2,"2","sample_2",2810206,TRUE,"HC"
3,"3","sample_3",2546685,TRUE,"HC"
4,"4","sample_4",3325856,TRUE,"CF_Asp_Pos"
5,"5","sample_5",729145,TRUE,"UNSTIM"
6,"6","sample_6",2514422,TRUE,"HC"
7,"7","sample_7",2179951,TRUE,"ARDS"
8,"8","sample_8",2010393,TRUE,"ARDS"
9,"9","sample_9",3416861,TRUE,"HC"
10,"10","sample_10",1943877,TRUE,"UNSTIM"
11,"11","sample_11",2193370,TRUE,"UNSTIM"
12,"12","sample_12",2217196,TRUE,"ARDS"
13,"13","sample_13",1941893,TRUE,"ARDS"
14,"14","sample_14",2295954,TRUE,"HC"
15,"15","sample_15",2067362,TRUE,"ARDS"
16,"16","sample_16",3074113,TRUE,"CF_Asp_Neg"
17,"17","sample_17",2354736,TRUE,"UNSTIM"
18,"18","sample_18",2869992,TRUE,"HC"
19,"19","sample_19",2666069,TRUE,"UNSTIM"
20,"20","sample_20",2381276,TRUE,"UNSTIM"
21,"21","sample_21",2781510,TRUE,"CF_Asp_Pos"
22,"22","sample_22",1888140,TRUE,"UNSTIM"
23,"23","sample_23",1651506,TRUE,"ARDS"
24,"24","sample_24",2195352,TRUE,"HC"
25,"25","sample_25",1909803,TRUE,"ARDS"
26,"26","sample_26",2140747,TRUE,"HC"
27,"27",NA,5139422,FALSE,"EXCLUDED_QC"
28,"28","sample_27",1658230,TRUE,"CF_Asp_Neg"
29,"29","sample_28",1859172,TRUE,"CF_Asp_Pos"
30,"30","sample_29",1860586,TRUE,"HC"
31,"31","sample_30",3375421,TRUE,"CF_Asp_Neg"
32,"32","sample_31",2400985,TRUE,"CF_Asp_Neg"
33,"33","sample_32",3376085,TRUE,"CF_Asp_Pos"
34,"34","sample_33",2042187,TRUE,"HC"
35,"35","sample_34",3449954,TRUE,"CF_Asp_Pos"
36,"36",NA,4830320,FALSE,"EXCLUDED_QC"
37,"37","sample_35",2292468,TRUE,"CF_Asp_Pos"
38,"38","sample_36",1819523,TRUE,"CF_Asp_Pos"
39,"39","sample_37",1772019,TRUE,"UNSTIM"
40,"40","sample_38",2118888,TRUE,"CF_Asp_Pos"
41,"41","sample_39",2674703,TRUE,"CF_Asp_Neg"
42,"42","sample_40",2463401,TRUE,"CF_Asp_Pos"
43,"43","sample_41",1553147,TRUE,"ARDS"
44,"44","sample_42",1641321,TRUE,"CF_Asp_Neg"
45,"45","sample_43",1518933,TRUE,"ARDS"
46,"46",NA,4696721,FALSE,"EXCLUDED_QC"
47,"47","sample_44",1518302,TRUE,"ARDS"
48,"48","sample_45",1744967,TRUE,"CF_Asp_Neg"
49,"49","sample_46",2185431,TRUE,"CF_Asp_Pos"
50,"50","sample_47",2329502,TRUE,"CF_Asp_Neg"
51,"51","sample_48",2039171,TRUE,"CF_Asp_Pos"
52,"52","sample_49",2027334,TRUE,"UNSTIM"
53,"53","sample_50",3214411,TRUE,"CF_Asp_Neg"
54,"54","sample_51",2502660,TRUE,"CF_Asp_Neg"
55,"55","sample_52",2891363,TRUE,"HC"
56,"56","sample_53",1600941,TRUE,"ARDS"
57,"57","sample_54",1500646,TRUE,"UNSTIM"
58,"58","sample_55",1056598,TRUE,"UNSTIM"
59,"59","sample_56",1927220,TRUE,"CF_Asp_Pos"
60,"60","sample_57",1477093,TRUE,"UNSTIM"
61,"61","sample_58",1548057,TRUE,"UNSTIM"
62,"62","sample_59",1413201,TRUE,"ARDS"
63,"63","sample_60",2061235,TRUE,"CF_Asp_Pos"
64,"64","sample_61",1524954,TRUE,"ARDS"
65,"65","sample_62",2460579,TRUE,"UNSTIM"
66,"66","sample_63",1933266,TRUE,"HC"
67,"67","sample_64",2518929,TRUE,"CF_Asp_Neg"
68,"68","sample_65",1683644,TRUE,"ARDS"
69,"69","sample_66",3470599,TRUE,"CF_Asp_Neg"
70,"70","sample_67",1890082,TRUE,"CF_Asp_Pos"
71,"71","sample_68",1573418,TRUE,"UNSTIM"
72,"72","sample_69",1830318,TRUE,"UNSTIM"
73,"73","sample_70",2596814,TRUE,"CF_Asp_Neg"
74,"74","sample_71",2476174,TRUE,"HC"
75,"75","sample_72",2303658,TRUE,"ARDS"
76,"76","sample_73",2768527,TRUE,"CF_Asp_Neg"
77,"77","sample_74",3429339,TRUE,"CF_Asp_Pos"
78,"78","sample_75",2464257,TRUE,"HC"
79,"79","sample_76",1955791,TRUE,"CF_Asp_Neg"
80,"80","sample_77",2629547,TRUE,"ARDS"
81,"81","sample_78",1770521,TRUE,"CF_Asp_Pos"
