manuscript_id,object_type,short_description,script_folder,source_script,source_chunk,output_folder,output_basename,input_data,status,notes
Fig 1,figure,Major miRNA stacked bar by sample,miRNA_compositional_analysis,CompositionalAnalysis_1pct_with_diversity.Rmd,stacked_bars_by_sample,miRNA_compositional_analysis,major_miRNAs_stacked_by_sample,frac_abundance from raw_count.xlsx,confirmed,
Fig 2,figure,Major miRNA mean fractional abundance,miRNA_compositional_analysis,CompositionalAnalysis_1pct_with_diversity.Rmd,barplot_major,miRNA_compositional_analysis,major_miRNAs_barplot,major_mirnas_table,confirmed,PNG and PDF confirmed
Fig 3A,figure,Major miRNAs with significant treatment differences,miRNA_compositional_analysis,CompositionalAnalysis_1pct_with_diversity.Rmd,plot_significant,miRNA_compositional_analysis,major_miRNAs_significant_differences,test_data,confirmed,Tukey HSD brackets; PNG and PDF confirmed
Fig 3B,figure,Density distribution of miRNA abundances by treatment,miRNA_compositional_analysis,CompositionalAnalysis_1pct_with_diversity.Rmd,density_plots,miRNA_compositional_analysis,abundance_density_plots,abundance_by_treatment,confirmed,PNG and PDF confirmed
Fig 3C,figure,Simpson diversity by treatment,miRNA_compositional_analysis,simpson_diversity_figure.R,NA,miRNA_compositional_analysis,simpson_diversity_significance,diversity_metrics_by_sample.csv,confirmed,Standalone R script
Fig 4,figure,miRNA target overlap summary,miRNA_pathway.V4/results/major/stringent,analyze_mirna_target_overlap.R,NA,miRNA_pathway.V4/results/major/stringent,mirna_overlap_summary,VERIFY,confirmed,
Fig 5A,figure,Pathways enriched in major miRNA targets,miRNA_pathway.V4/results/major/stringent,plot_pathway_counts.R,NA,.,pathway_counts_barplot,CF_major_stringent_*_enrichment.csv,confirmed,Output goes to project root
Fig 5B,figure,GO Biological Process enrichment dotplot,miRNA_pathway.V4,miRNA_pathway_workflow.R,NA,miRNA_pathway.V4/results/major/stringent,CF_major_stringent_GO_BP_dotplot,VERIFY,confirmed,Workflow script outputs to results subfolder
Fig 5C,figure,CF pathway categories stacked barplot,miRNA_pathway.V4/results/major/stringent,categorize_pathways.R,NA,miRNA_pathway.V4,pathway_categories_stacked_barplot,VERIFY,confirmed,Script in results subfolder outputs to parent
Fig 6,figure,Volcano plot of CF-relevant miRNAs (CF vs HC),MinorMiRNA_Analysis,MinorMiRNA_Prevalence_Analysis.Rmd,volcano_plot,MinorMiRNA_Analysis,volcano_CF_vs_HC,ttest_df and cf_relevant_annotated,confirmed,PNG and PDF confirmed
Fig 7,figure,DESeq2 volcano faceted by abundance tier,DESeq2Analysis,DESeq2_CF_vs_HC_analysis.R,NA,DESeq2Analysis,volcano_faceted_by_abundance,VERIFY,confirmed,
Table 1,table,Pathway Category Summary,miRNA_pathway.V4/results/major/stringent,categorize_pathways.R,NA,miRNA_pathway.V4,pathway_categories_summary,CF_major_stringent_disease_relevant_pathways.csv,confirmed,Same script produces Fig 5C
Table 2,table,Convergent Genes - Inflammation,miRNA_pathway.V4/results/major/stringent,analyze_pathway_similarity.R,NA,miRNA_pathway.V4/results/major/stringent/pathway_similarity_results,gene_pathway_counts,enrichment results,confirmed,Function column AI-curated (Claude); needs human review; genes filtered for inflammation
Table 3,table,Convergent Genes - Tissue Remodeling,miRNA_pathway.V4/results/major/stringent,analyze_pathway_similarity.R,NA,miRNA_pathway.V4/results/major/stringent/pathway_similarity_results,gene_pathway_counts,enrichment results,confirmed,Function column AI-curated (Claude); needs human review; genes filtered for ECM/TGF-β
Table 4,table,CF-Relevant miRNAs in hMSC EV Cargo,MinorMiRNA_Analysis,MinorMiRNA_Prevalence_Analysis.Rmd,define_cf_relevant,MinorMiRNA_Analysis,CF_relevant_miRNAs_annotated,CF_miRNA_annotations.csv,confirmed,Key_Mechanism AI-curated (Claude + Elicit); references verified by THH
Table 5,table,Context-Dependent Effects of miR-21,NA,NA,NA,NA,NA,NA,confirmed,Literature summary; manually curated and validated by THH
